language,original_index,text,transcription_base,transcription_ft,sentiment_base,confidence_base,reasoning_base,sentiment_ft,confidence_ft,reasoning_ft
TWI,0,"Mema wo aha, Seewa. Aha ayɛ butubutubutubutu, titiriw ne sukuu adwuma ɛna afei me ne me nnamfonom bɔ mmɔden sɛ yɛbɛhyiahyia yɛn ho online. Aane, ɛboa paa. Nanso, ɛtɔ da a na nneɛma no adɔɔso; nkra ne amanneɛbɔ a menya no da biara no.","Memawar sehwa, ahay butu butu butu. Niti cium nisuku eduma, enafy. Mene menang fofo, abo moden se. Yebi sy sih yang online. Anne abo apa? Nanso etoda, nanyaman adonson. Encra nanyaman abo minyane debiran.","Mema wɔ aha see wɔa aha yebutubutubu tui, metitsiwo no sukui wò edzima, ena afei, mene menamfofoɔ ebɔ mɔde nsa yebɛhiesheyae Ɔho online, aane ebo apa. Nanso etɔ̃ daa naneama naɖɔɔ so, ɛŋkra ne amanubɔa menya no ɖe bea no.",Happy,0.6,"Although the transcription is linguistically inconsistent and appears to be a mix of languages (containing Indonesian words like 'cium' meaning kiss, 'menang' meaning win, and 'nyaman' meaning comfortable), the presence of these positive keywords suggests a general state of happiness and contentment.",Frustrated,0.65,"The speaker describes a situation where something is not working correctly ('ebo apa' - it's gone/broken/finished) and mentions trying to resolve an issue online for four days ('daa naneama') without success, which indicates a state of frustration."
TWI,1,"Wonyin a, wufi ase hu sɛ ɛwɔ baabiara, te sɛ asɔre, sukuu mu, ne afie mu nso. Afei de, wufi ase hu sɛ, sɛ woanyɛ sɛnea wo pɛ a, wonyɛ nkonimdifo anaa sɛ wɔre nnɔ wo. Wei deɛ ɛyɛ den paa ara.","Kunya, usah saja hubungi dia, say a sorry sekumu, empu if you monso. Afe deh, usah saja jitu monso, say apa anya senior pener. Kunyang kunem difok anak say one no, ready ending.","1 KUNYINNA 2. Afei ɖe wosaa sedzitom sɛ, se woanye Senyɛ ƒe na wonyẽ konyimɖifo anaasewɔnɔwo, Rehder Eden.",Sad,0.75,"The transcription contains phrases such as 'usah saja hubungi dia' (don't bother contacting him/her), 'say a sorry', and 'ready ending'. These terms suggest a context of conflict, a failed attempt at reconciliation, and a sense of finality or resignation, which align closely with sadness.",Frustrated,0.3,"The text is a factual, narrative account describing a decision to identify eyewitnesses to a wrongdoing ('anaasewɔnɔwo'). While the tone is neutral and descriptive, the context of identifying wrongdoers associates the text with a negative emotional valence, making 'Frustrated' the closest fit among the provided options."
TWI,2,"Me deɛ, merehwehwɛ nea ɛrekɔ so wɔ me mpɔtam ha. Me ne amanfo) di nkɔmmɔ, na me sukuu adwumadie, no 3yaa na merehwehwɛ nneɛma wɔ online. Aane, ɛyaa me sua nneɛma foforo, na mesan nso ne me nua nom 3kasa wɔ Kumasi. Nea ɛnyɛ ?, ɛtɔ da a nkurɔfo ka nea ɛnyɛ , na ɛno nso nyɛ.","Mais dire, il y a mes chaînes qu'on se est oument porté moi, mais il y a manifodin comme, afin que me succou du matin, il y a là me chuchemer online. Ah non, il y a mes chaînes m'a fait frô, mais sans soi ni ni un homme est cassé au commence. Néanmoins, il y a là inconvénient me can ni ma né, et non soi non.","Me deɛ, ayare me hwɛni ekɔ so ewɔ me mpo temha ani amamfo ɖi ŋkɔ mo, afe nso mesuku dumadie no ayare na me hufue mu, ewɔ ɔnain. Aane, ayare mesua nɛma foforɔ, mesaŋso ne me nuanom ekasa wò koma ase. Nae anye. Aye na nkurɔfoɔ ti me kane ama yɛnnye, ɛno nso ɛnye wɔn.",Sad,0.65,"Although the transcription is fragmented and resembles a broken form of French rather than Twi, the use of keywords like 'chaînes' (chains) and 'homme est cassé' (man is broken) strongly suggests a theme of suffering, restriction, and emotional distress.",Rejected,0.75,"The speaker discusses struggling with illness (ayare) and difficulties in school, while specifically mentioning that people called them names (amamfo ɖi ŋkɔ) and looked down on them (nkurɔfoɔ ti me kane), which strongly indicates a feeling of social rejection and alienation."
TWI,3,"Me deɛ, merehwehwɛ nea ɛrekɔ so wɔ me mpɔtam ha. Me ne amanfoɔ di nkɔmmɔ, na me sukuu adwumadie, no ɛyaa na merehwehwɛ nneɛma wɔ online. Aane, ɛyaa me sua nneɛma foforo, na mesan nso ne me nua nom ɛkasa wɔ Kumasi. Nea ɛnyɛ?, ɛtɔ da a nkurɔfo ka nea ɛnyɛ , na ɛno nso nyɛ.","Betul dia nim, anak saya betul acha tersih. Nansu el wasa, ia nak kau empat sua, betul dia bohong hamba. What is say, em poten mohon pening for, oket dia sasemia na.","2 PETE 2. Ana sɛ, mete míatsa tsra se. Nanso èwɔ sɛ yeye nɔkwan pa soa, ebitumi abɔ o ho ban. Woate sɛ mpetemha mpanyimfoɔ wòketia saa se mi anaa.",Confused,0.75,"Although the language is labeled as Twi, the transcription contains Malay/Indonesian words such as 'betul' (correct/really), 'anak saya' (my child), 'bohong' (lie), and 'pening' (dizzy/confused). The speaker mentions that someone (their child) lied to them ('betul dia bohong hamba') and expresses feeling 'pening', which directly translates to confusion or a mental headache caused by a stressful situation.",Anxious,0.65,"The speaker expresses uncertainty ('Ana sɛ' - perhaps/maybe) and emphasizes the need for protection ('abɔ o ho ban' - build a wall around it), while seeking validation from the words of elders, suggesting a state of vulnerability or worry."
TWI,4,"Ɛyɛ mete sɛ, mmaa mpanimfoɔ no di nkɔmmɔ fa ɔhaw a awoɔ mu, ɛno no ɛyɛ ampa? Ɛyaa na meredwene sɛ, mɛyɛ dɛn agu so akɔ so asukuu, sɛ meware a? Me kunu bɛpɛ sɛ metena fie na meyɛ afie nnwuma.","Aïam était certainement préférant au dîner comme faire au Hawaii à Oahu. Et non, il n'y a pas. Aïam a mis dans une cer, mais dans un goût su, à coeur sec. C'est mon avis. Mais que nous versons maintenant, c'est la meilleure envie de Jimmy.","Eya mete se mma mpanyimfoɔ no oɖi ŋu kɔmɔ fa ɔxawɔe wɔ awɔ mu. Enona eya mpa. Eya na medzoezoe nse mayiɖe egusu akosuku, se mewɔ awia. Mikinu bepɛ se mete ne fie na mayi mfei nyudzoma.",Confused,0.3,"The transcription is highly incoherent and grammatically fragmented. Although labeled as Twi, the text is actually a broken form of French (or a very poor translation into French) that lacks a clear emotional arc. The phrasing 'à coeur sec' (dry heart) and the disjointed sentences make the intended sentiment ambiguous and the overall communication feel confused.",Sad,0.8,"The speaker mentions leaving school ('mayiɖe egusu akosuku') and having problems ('mewɔ awia'), and expresses a longing to be at home ('mete ne fie'), which indicates a state of distress, regret, or sadness."
TWI,5,"Me ma wo akye, seewa. Me ho yɛ, nanso nnansa yi ɛyaa na m'ayɛ  basaa. ɛfa me nipadua ho. M'ahyɛ aseɛ abu me nsa bosome a atwam mu yi. Nanso da biara a ɛbɛba no, ɛyɛ me sɛ meyɛ nipa foforo.",mauchin c'est quoi mais on y est lorsque lorsque aïe a na m'aie basa un famille perdue en Hong ma cha si vous m'insa vous soumez tu oui lorsque debi a bbbi a non là aïe mais c'est bien n pas faux faux,"Mawɔa tse wɔa me ho ye. Nanso nansin eya na mayi basaa. Efa meni pɛdua ho. Masia seebu me nsa. Musumietwe ŋui. Nanso, dabi rebibea ano. Na, eya me sɛ mienipa foforɔ.",Sad,0.65,"The transcription contains the French phrase 'famille perdue' (lost family) and expressions of distress like 'aïe', which strongly suggest feelings of sadness or grief, despite the fragmented nature of the text.",Sad,0.85,"The speaker begins by saying they are okay, but immediately pivots using 'Nanso' (But) to describe pain ('eya') and a sense of loss or transformation ('mienipa foforɔ' - a different person), indicating an underlying state of sadness and internal struggle."
TWI,6,"Ɛyɛ na, w'ɔyɛ wɔn ho te sɛ wɔn anni suɔden, nanso ɛyɛ me sɛ ɛnyɛ obiara na ɔwɔ saa atenka no. Mepɛ sɛ meyɛ obi a obetumi asesa saa nneɛma no, sɛ mpo ɛwɔ me fie mu nko ara a. Seesei deɛ, manya awerɛhyem bi, na ɛyɛ me sɛ wopɛ sɛ woboa no, na ɛkyerɛ sɛ woho ɔmmerɛ.","Aí a Ana oia o homem de cima e o homem de baixo dizendo: ""Então aí me sei o bia novo só tem cano"". Me parece me o bia o beto me açaça sa nem mano. Sempre o bim me fio um pouco a. Se sii a determinia resse movi. Na aí me sei o tosso o bia no e parte sei o homem.","ayi ana wɔ yewɔwo ho tsɛnya wɔ ene so redin? Nso ɛyɛ me sɛ nyewoambia nɔ wosaa atenka no. Mepɛ sɛ meyoo bio bɛtumi asasa Sianaima no, Sempo, èwò mefie mpo ŋu ko ara. Sisi aɖe menya rehwɛhwe mo bi. Na ɛyɛ me sɛ wotosɔ wo bɔa nɔ ɛpa kyerɛ sɛ wohome mmere.",Confused,0.4,"The transcription is highly fragmented and incoherent. While it contains words resembling Portuguese (e.g., 'homem', 'me parece'), the syntax and vocabulary are distorted and lack clear emotional markers, making the overall message nonsensical and confusing.",Frustrated,0.75,"The speaker expresses a sense of being excluded or uninformed ('nyewoambia' - you didn't tell me) and mentions being alone/isolated ('ŋu ko ara'), while questioning the motives and behaviors of others. This combination of feeling left out and the tension in the dialogue points toward frustration."
TWI,7,"Me ho ato me asiane sɛ yɛredi adeɛ yi ho nkɔmmɔ. Dɛn na ɛwɔ sɛ meka sɛ obi pɛ sɛ ɔhyɛ me so ma meyɛ adeɛ a mempɛ sɛ meyɛ? Sɛ mpo wanyin sene me a. Ɛyɛ a na nkurɔfo kasa sɛ obi ka sɛ daabi a, ɛmpa nkyerɛ sɛ daabi. Medaase, wɔfa. Yebetumi ahyia bio ɛbɛnada?","Moi Tomme, et ça on se dit adieu un commun. Dans notre maison, c'est obéissant au chemin sommaire adieu à même personne meilleur. C'est un peu moins simple. Aïe a nan quoi focuser. C'est obéissant à derby un pancheur se derby. Mais dans ce waffle, il veut me chier bium et benada.","Me ho atɔ me, esian sɛ yɛɖi adeeiwo ŋu kɔ mo. . Dina na wose meka, sɛ obi pɛ sɛ ɔhye me soma meyia adea mempɛ sɛ meyiaa, si mpo wɔ nyinsẽm mea. Ayea na ankɔfoɔ kasa sɛ, so bi kasa daa bi a, mpan kyerɛ sɛ daa bi, meda ase wɔ fa, yebeti míasie bio mu, ɛbena daa.",Sad,0.6,"Although the transcription is provided as Twi, it appears to be a fragmented or phonetic transcription of broken French. The repeated use of the word 'adieu' (goodbye) strongly suggests a theme of parting, loss, or finality, which aligns most closely with a sad sentiment.",Relieved,0.85,"The transcription begins with the phrase 'Me ho atɔ me,' which is a common Twi expression meaning 'I am at peace' or 'I am relieved,' typically used after a period of tension or anxiety has passed."
TWI,8,"Ɛyɛ a, meredwendwene nea ammanfoɔ bɛka sɛ meyɛ biribi foforo a. Ɛma mete nea mepɛ sɛ meyɛ daakye. Esiane sɛ mepɛ sɛ meyɛ abaamu a, medi nhyehyɛe a mpɔtam ha ahyehyɛ ama me no so sen nea mepɛ sɛ meyɛ no. Seesei deɛ, mahu saa.","Aïe, Anna me dit que j'ai niemaman pour becasse mais j'ai bibi pour frère. Emma me dit niemepasser mais j'ai d'argent. Et ça on se me passe mais y a ben moi mais y a Anna se me dit ils cherchaient un pot de mouche charmant maintenant. C'est n'est niemepasser maintenant. C'est c'est y a des mouches.","ayi ana medzundzun ni amamfɔ be kasa meye bibifofoa, ɛma mete ni ame mepɛ sɛ meyɛ daa atsyen. Esian sɛ mepɛ sɛ meyabɛawo a meyie ana sɛ midi ntsyehyɛ a mpɔtem ho ashsahama me no ho. Sene ni ame mepɛ sɛ meyɛ no. Sesi aɖe, mehusa,",Confused,0.75,"The text is highly fragmented, containing a mix of broken French and nonsensical phrases (e.g., 'pot de mouche charmant'). The speaker is recounting contradictory or illogical statements from others and struggles to form coherent sentences, which strongly suggests a state of confusion.",Insecure,0.75,"The speaker expresses a struggle with external expectations, mentioning how others talk and how they feel pressure to be who other people want them to be, which indicates a lack of self-assurance and confidence in their own identity."
TWI,9,"Wo susu sɛ me maame bɛpɛ sɛ yɛne no bɛka saa afa ho anaa? Me ho ahã me kakra, esiane sɛ me ne wo bɔɔ ho nkɔmmɔ. Wei deɛ ayɛ sɛ asɛdeɛ kɛseɛ paa. Mepɛ sɛ me kɔ sukuu da biara mpo sɛ me bu me nsa a.","Usus se, memang me, beperceh yang nenek becasaf ahwana, menwa haem ikakar sasa menobol ahong komu. Ewe dia ayas asas dia ke sepan, beperceh bukoh suku debir impose mibu minsah.","1 WOSUSU Sɛ, memaa me, bɛpɛ sɛ yɛnenɔ be kasa fa ho ana? Mɛhoã hã me kakra sansã me nɔ wo bɔwo ho ŋkɔ mo. Ɛwodee, Ayesha, sɛ ɖe kɛse paawo o. Bɛpɛ sɛ bɛkɔ su kuu ɖe bia ŋpɔse mibu me nsaa.",Sad,0.55,"Although the text is not standard Twi and contains fragmented Indonesian words such as 'memang' (indeed), 'nenek' (grandmother), and 'suku' (tribe), the overall phonetic structure and the reference to a grandmother suggest a tone of nostalgia or longing, which most closely aligns with a 'Sad' or melancholic sentiment.",Anxious,0.75,"The speaker is questioning whether others want to talk about a 'big' issue and expresses concern that they might dig deeper or investigate further, which indicates a state of apprehension and worry."
